geo500101g.001,330000000,30007,3,1666560,0,0,20001103,130914,0,0
geo500101g.002,330000000,30007,1,1666560,0,0,20001103,130914,0,0
dst570101g.001,330000001,30006,3,0,1,1,0,0,0,0
dst570101g.002,330000001,30006,1,0,0,0,0,0,0,0
imf631127g.001,330000002,30012,3,0,1,1,0,0,0,0
imf631127g.002,330000002,30012,1,0,0,0,0,0,0,0
jic950201g.001,330000003,1050,1,376320,0,0,19961212,155022,0,0
are970106g.001,330000004,2010,1,1706880,0,0,19970811,190404,0,0
lyr970408g.001,330000005,7001,1,2244480,0,0,19970529,202223,0,0
son970106g.001,330000006,5501,1,7015680,0,0,19970821,202256,0,0
mil980120g.001,330000008,3001,3,1505280,0,0,19980123,152308,2,0
mil980120g.002,330000008,3001,1,1505280,0,0,19980210,000226,1,0
mil980120g.003,330000008,3408,1,1370880,0,0,19990921,210425,preliminary - may need correction for spectral asymmetry,0
son091215.001,330000009,5506,1,0,1,1,0,0,tt,0
son091215.002,330000009,9006,1,0,1,1,0,0,bb,0
